Year,Place,Athlete,Country,Time,Gender
1983,3,Mark Allen,USA,9:21:06,Male
1982,3,Jeff Tinley,USA,9:36:53,Male
1982,3,Jeff Tinley,USA,9:53:16,Male
1981,3,Scott Tinley,USA,10:12:47,Male
1980,3,John Howard,USA,10:32:36,Male
1979,3,Ian Emberson,USA,12:23:30,Male
1978,3,Dave Orlowski,USA,13:59:13,Male
2019,1,Anne Haug,GER,8:40:10,Female
2018,1,Daniela Ryf,SUI,8:26:18,Female
2017,1,Daniela Ryf,SUI,8:50:47,Female
2016,1,Daniela Ryf,SUI,8:46:46,Female
2015,1,Daniela Ryf,SUI,8:57:57,Female
2014,1,Mirinda Carfrae,AUS,9:00:55,Female
2013,1,Mirinda Carfrae,AUS,8:52:14,Female
2012,1,Leanda Cave,GBR,9:15:54,Female
2011,1,Chrissie Wellington,GBR,8:55:08,Female
2010,1,Mirinda Carfrae,AUS,8:58:36,Female
2009,1,Chrissie Wellington,GBR,8:54:02,Female
2008,1,Chrissie Wellington,GBR,9:06:23,Female
2007,1,Chrissie Wellington,GBR,9:08:45,Female
2006,1,Michellie Jones,AUS,9:18:31,Female
2005,1,Natascha Badmann,SUI,9:09:30,Female
2004,1,Natascha Badmann,SUI,9:50:04,Female
2003,1,Lori Bowden,CAN,9:11:55,Female
2002,1,Natascha Badmann,SUI,9:07:54,Female
2001,1,Natascha Badmann,SUI,9:28:37,Female
2000,1,Natascha Badmann,SUI,9:26:17,Female
1999,1,Lori Bowden,CAN,9:13:02,Female
1998,1,Natascha Badmann,SUI,9:24:16,Female
1997,1,Heather Fuhr,CAN,9:31:43,Female
1996,1,Paula Newby-Fraser†,USA,9:06:49,Female
1995,1,Karen Smyers,USA,9:16:46,Female
1994,1,Paula Newby-Fraser,ZIM,9:20:14,Female
1993,1,Paula Newby-Fraser,ZIM,8:58:23,Female
1992,1,Paula Newby-Fraser,ZIM,8:55:28,Female
1991,1,Paula Newby-Fraser,ZIM,9:07:52,Female
1990,1,Erin Baker,NZL,9:13:42,Female
1989,1,Paula Newby-Fraser,ZIM,9:00:56,Female
1988,1,Paula Newby-Fraser,ZIM,9:01:01,Female
1987,1,Erin Baker,NZL,9:35:25,Female
1986,1,Paula Newby-Fraser,ZIM,9:49:14,Female
1985,1,Joanne Ernst,USA,10:25:22,Female
1984,1,Sylviane Puntous,CAN,10:25:13,Female
1983,1,Sylviane Puntous,CAN,10:43:36,Female
1982,1,Julie Leach,USA,10:54:08,Female
1982,1,Kathleen McCartney,USA,11:09:40,Female
1981,1,Linda Sweeney,USA,12:02:32,Female
1980,1,Robin Beck,USA,11:21:24,Female
1979,1,Lyn Lemaire,USA,12:55:38,Female
2019,2,Lucy Charles,GBR,8:46:44,Female
